Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
CFPUA WTP Water,5/21/21,GenX,10.7,10.7,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,5/21/21,PFOS,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,5/21/21,PFOA,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,7/23/21,GenX,8.1999998,8.1999998,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,7/23/21,PFOS,2,2,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,7/23/21,PFOA,2.0999999,2.0999999,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,1/22/21,GenX,6.859,6.859,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,1/22/21,PFOS,2.654,2.654,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,1/22/21,PFOA,2.068,2.068,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,2/26/21,GenX,2.614,2.614,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,2/26/21,PFOS,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,2/26/21,PFOA,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,3/19/21,GenX,2.185,2.185,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,3/19/21,PFOS,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,3/19/21,PFOA,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,4/23/21,GenX,4.892,4.892,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,4/23/21,PFOS,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,4/23/21,PFOA,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,10/15/21,PFOS,3.1,3.1,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,10/15/21,PFOA,3.5,3.5,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,8/13/21,GenX,9,9,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,8/13/21,PFOS,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,8/13/21,PFOA,< 2,2,ng/L,,N,2,-8676994.411,4063407.987
CFPUA WTP Water,9/17/21,GenX,11.2,11.2,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,9/17/21,PFOS,2.5,2.5,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,9/17/21,PFOA,3.3,3.3,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,10/15/21,GenX,7.6,7.6,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,11/12/21,GenX,13,13,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,11/12/21,PFOS,4.3,4.3,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,11/12/21,PFOA,5,5,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,12/10/21,PFOS,5.2,5.2,ng/L,,Y,2,-8676994.411,4063407.987
CFPUA WTP Water,12/10/21,PFOA,5.4,5.4,ng/L,,Y,2,-8676994.411,4063407.987
