Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Brunswick County WTP Water,1/22/21,GenX,9.244,9.244,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,1/22/21,PFOS,7.312,7.312,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,1/22/21,PFOA,3.744,3.744,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,2/26/21,GenX,5.681,5.681,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,2/26/21,PFOS,4.368,4.368,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,2/26/21,PFOA,2.166,2.166,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,3/19/21,GenX,10.445,10.445,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,3/19/21,PFOS,9.247,9.247,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,3/19/21,PFOA,5.331,5.331,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,4/23/21,GenX,9.34,9.34,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,4/23/21,PFOS,10.107,10.107,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,4/23/21,PFOA,5.475,5.475,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,5/21/21,GenX,13.9,13.9,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,5/21/21,PFOS,13.5,13.5,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,5/21/21,PFOA,7.5,7.5,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,6/18/21,GenX,6.5999999,6.5999999,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,6/18/21,PFOS,11.7,11.7,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,6/18/21,PFOA,6.3000002,6.3000002,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,7/23/21,GenX,24.200001,24.200001,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,7/23/21,PFOS,10.1,10.1,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,7/23/21,PFOA,5.4000001,5.4000001,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,8/13/21,GenX,14.4,14.4,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,8/13/21,PFOS,5.7,5.7,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,8/13/21,PFOA,3.3,3.3,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,9/17/21,GenX,14.2,14.2,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,9/17/21,PFOS,11.8,11.8,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,9/17/21,PFOA,7,7,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,10/15/21,GenX,3.8,3.8,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,10/15/21,PFOS,11,11,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,10/15/21,PFOA,7.5,7.5,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,11/12/21,GenX,15,15,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,11/12/21,PFOS,12,12,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,11/12/21,PFOA,8.4,8.4,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,12/10/21,GenX,8.8,8.8,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,12/10/21,PFOS,10,10,ng/L,,Y,2,-8694737.291,4069565.975
Brunswick County WTP Water,12/10/21,PFOA,7.6,7.6,ng/L,,Y,2,-8694737.291,4069565.975
