Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Chemours Outfall 002,1/5/21,GenX,428.027,428.027,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/5/21,PFOS,8.595,8.595,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/5/21,PFOA,7.035,7.035,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/8/21,GenX,165.331,165.331,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/8/21,PFOS,5.873,5.873,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/8/21,PFOA,3.777,3.777,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/12/21,GenX,167.926,167.926,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/12/21,PFOS,6.995,6.995,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/12/21,PFOA,5.123,5.123,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/19/21,GenX,136.19,136.19,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/19/21,PFOS,5.982,5.982,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/19/21,PFOA,4.256,4.256,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/22/21,GenX,146.478,146.478,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/22/21,PFOS,7.012,7.012,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/22/21,PFOA,5.728,5.728,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/26/21,GenX,256.496,256.496,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/26/21,PFOS,7.92,7.92,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/26/21,PFOA,6.997,6.997,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/29/21,GenX,410.542,410.542,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/29/21,PFOS,7.889,7.889,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,1/29/21,PFOA,7.319,7.319,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/2/21,GenX,282.078,282.078,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/2/21,PFOS,6.545,6.545,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/2/21,PFOA,5.439,5.439,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/5/21,GenX,175.207,175.207,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/5/21,PFOS,7.941,7.941,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/5/21,PFOA,5.586,5.586,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/9/21,GenX,279.367,279.367,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/9/21,PFOS,8.741,8.741,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/9/21,PFOA,6.55,6.55,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/12/21,GenX,1340.155,1340.155,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/12/21,PFOS,7.929,7.929,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/12/21,PFOA,7.341,7.341,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/16/21,GenX,1010.309,1010.309,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/16/21,PFOS,5.565,5.565,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/16/21,PFOA,8.022,8.022,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/19/21,GenX,2359.301,2359.301,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/19/21,PFOS,3.478,3.478,ng/L,,Y,2,-8775048.738,4141978.055
