Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
International Paper WTP Water,5/14/21,GenX,3.8,3.8,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,5/14/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,5/14/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,6/11/21,GenX,2.9000001,2.9000001,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,6/11/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,6/11/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,7/23/21,GenX,3.9000001,3.9000001,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,7/23/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,7/23/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,1/21/21,GenX,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,1/21/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,1/21/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,2/18/21,GenX,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,2/18/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,2/18/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,3/25/21,GenX,3.32,3.32,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,3/25/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,3/25/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,4/29/21,GenX,2.949,2.949,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,4/29/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,4/29/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,8/13/21,GenX,5.2,5.2,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,8/13/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,8/13/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,9/17/21,GenX,7.7,7.7,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,9/17/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,9/17/21,PFOA,2.2,2.2,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,10/22/21,GenX,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,10/22/21,PFOS,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,10/22/21,PFOA,< 2,2,ng/L,,N,2,-8706045.236,4076607.665
International Paper WTP Water,11/23/21,GenX,9.3,9.3,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,11/23/21,PFOS,4.1,4.1,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,11/23/21,PFOA,4.2,4.2,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,12/17/21,GenX,8.9,8.9,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,12/17/21,PFOS,4,4,ng/L,,Y,2,-8706045.236,4076607.665
International Paper WTP Water,12/17/21,PFOA,4.4,4.4,ng/L,,Y,2,-8706045.236,4076607.665
