Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Pender County WTP Water,1/22/21,GenX,8.545,8.545,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,1/22/21,PFOS,2.76,2.76,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,1/22/21,PFOA,2.654,2.654,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,2/26/21,GenX,5.024,5.024,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,2/26/21,PFOS,2.011,2.011,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,2/26/21,PFOA,< 2,2,ng/L,,N,2,-8684284.614,4074309.784
Pender County WTP Water,3/19/21,GenX,5.621,5.621,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,3/19/21,PFOS,2.042,2.042,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,3/19/21,PFOA,2.442,2.442,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,4/23/21,GenX,9.557,9.557,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,8/13/21,GenX,7.5,7.5,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,8/13/21,PFOS,< 2,2,ng/L,,N,2,-8684284.614,4074309.784
Pender County WTP Water,8/13/21,PFOA,2.4,2.4,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,9/17/21,GenX,8,8,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,9/17/21,PFOS,2.1,2.1,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,9/17/21,PFOA,2.8,2.8,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,10/15/21,GenX,7.3,7.3,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,10/15/21,PFOS,< 2,2,ng/L,,N,2,-8684284.614,4074309.784
Pender County WTP Water,10/15/21,PFOA,2.1,2.1,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,11/12/21,GenX,10,10,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,11/12/21,PFOS,2.1,2.1,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,11/12/21,PFOA,3.1,3.1,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,12/10/21,GenX,8.7,8.7,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,12/10/21,PFOS,2.4,2.4,ng/L,,Y,2,-8684284.614,4074309.784
Pender County WTP Water,12/10/21,PFOA,3.4,3.4,ng/L,,Y,2,-8684284.614,4074309.784
